year,month,zooplankton,whitebass,whitesucker
2008,1,,,
2008,2,,,
2008,3,,0,0
2008,4,,0,0
2008,5,424125.5149,12895,56
2008,6,3553870.253,4926,4854
2008,7,4953233.06,34,2359
2008,8,1461646.121,1,106
2008,9,,,
2008,10,,,
2008,11,,,
2008,12,,,
2009,1,,,
2009,2,,,
2009,3,,0,0
2009,4,,0,0
2009,5,709874.1287,19946,5
2009,6,448020.1557,2231,931
2009,7,3721304.339,10,2384
2009,8,2184062.398,0,313
2009,9,,0,0
2009,10,,,
2009,11,,,
2009,12,,,
2010,1,,,
2010,2,,,
2010,3,,0,0
2010,4,,0,0
2010,5,186783.419,10880,6
2010,6,4229685.584,4257,5845
2010,7,1353843.982,16,4886
2010,8,709444.559,0,718
2010,9,,0,0
2010,10,,0,
2010,11,,0,0
2010,12,,,0
2011,1,,,
2011,2,,,
2011,3,,0,0
2011,4,,0,0
2011,5,741322.2921,8512,15
2011,6,4063264.287,2178,7577
2011,7,1669761.641,16,7673
2011,8,1194378.048,0,222
2011,9,,,
2011,10,,,
2011,11,,,
2011,12,,,